Room,Current Residents,Key num,Total Last key,Keys on hook,Error,Other Codes,Notes,,,,,,,,,,,,,,,,,,
10,4,C105X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C105 ,,1,2,,,,,,,,,,,,,,,,,,,,
10,1,C106,,1,2,,,,,,,,,,,,,,,,,,,,
10,1,C107,,1,2,,,,,,,,,,,,,,,,,,,,
10,1,C108,,0,1,,,,,,,,,,,,,,,,,,,,
10,4,C129x,,,,,,,,,,,,,,,,,,,,,,,
10,1,C129x,,0,1,1 C124,,,,,,,,,,,,,,,,,,,
10,1,C130,,0,1,,,,,,,,,,,,,,,,,,,,
10,1,C131,3,2,0,,,,,,,,,,,,,,,,,,,,
10,1,C132,2,0,-1,,,,,,,,,,,,,,,,,,,,
10,3,C21X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C21 ,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C22,2,2,1,29?,,,,,,,,,,,,,,,,,,,
10,1,C23/201C,,1,2,,,,,,,,,,,,,,,,,,,,
10,1,C24,2,1,0,,,,,,,,,,,,,,,,,,,,
10,4,C1X,1,,,,,,,,,,,,,,,,,,,,,,
10,1,C1,2,6,5,,,,,,,,,,,,,,,,,,,,
10,1,AA20,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C3,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C4,2,1,0,,,,,,,,,,,,,,,,,,,,
10,4,C85X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C85 ,1,0,0,,,,,,,,,,,,,,,,,,,,
10,1,C86,2,0,-1,,,,,,,,,,,,,,,,,,,,
10,1,C87,1,1,1,,,,,,,,,,,,,,,,,,,,
10,1,C88,2,1,0,,,,,,,,,,,,,,,,,,,,
10,4,C97X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C97 ,3,2,0,,,,,,,,,,,,,,,,,,,,
10,1,C98,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C99,2,0,-1,,,,,,,,,,,,,,,,,,,,
10,1,C100,2,1,0,,,,,,,,,,,,,,,,,,,,
10,2,C9X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C9 ,1,0,0,,,,,,,,,,,,,,,,,,,,
10,1,C10,3,2,0,,,,,,,,,,,,,,,,,,,,
10,1,C121,2,2,1,,,,,,,,,,,,,,,,,,,,
10,3,C89X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C89 ,1,0,0,,,,,,,,,,,,,,,,,,,,
10,1,C90,2,1,0,,,,,,,,,,,,,,,,,,,,
10,0,C91,1,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C92,2,1,0,,,,,,,,,,,,,,,,,,,,
10,4,C133X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C133/C122,,1,2,,,,,,,,,,,,,,,,,,,,
10,1,C134,1,0,0,,,,,,,,,,,,,,,,,,,,
10,1,C135,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C136,1,4,4,,,,,,,,,,,,,,,,,,,,
10,4,C57x,,,,,,,,,,,,,,,,,,,,,,,
10,1,C57A,2,0,-1,,,,,,,,,,,,,,,,,,,,
10,1,C58,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C59,2,2,1,,,,,,,,,,,,,,,,,,,,
10,1,C60,2,2,1,,,,,,,,,,,,,,,,,,,,
10,4,C17X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C17 ,,0,1,,,,,,,,,,,,,,,,,,,,
10,1,C18,,0,1,,,,,,,,,,,,,,,,,,,,
10,1,C19,,0,1,1 C27,,,,,,,,,,,,,,,,,,,
10,1,C20,,0,1,,,,,,,,,,,,,,,,,,,,
10,3,C61X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C61 ,2,2,1,,,,,,,,,,,,,,,,,,,,
10,1,C62,2,2,1,,,,,,,,,,,,,,,,,,,,
10,1,C63,2,1,0,,,,,,,,,,,,,,,,,,,,
10,0,C64,2,2,0,,,,,,,,,,,,,,,,,,,,
10,4,C109X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C109 ,3,1,-1,,,,,,,,,,,,,,,,,,,,
10,1,C110,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C111,1,0,0,,,,,,,,,,,,,,,,,,,,
10,1,C112,1,1,1,,,,,,,,,,,,,,,,,,,,
10,4,A91,,,,,,,,,,,,,,,,,,,,,,,
10,1,C49 ,1,1,1,,,,,,,,,,,,,,,,,,,,
10,1,C50,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C51,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C116,,0,1,,,,,,,,,,,,,,,,,,,,
10,2,C69X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C69 ,2,0,-1,,,,,,,,,,,,,,,,,,,,
10,1,C70,,1,2,,,,,,,,,,,,,,,,,,,,
10,1,C122,2,,,1 C140,,,,,,,,,,,,,,,,,,,
10,4,C113X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C113 ,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C114,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C115,1,0,0,,,,,,,,,,,,,,,,,,,,
10,1,C116,2,1,0,,,,,,,,,,,,,,,,,,,,
10,4,C143,,,,,,,,,,,,,,,,,,,,,,,
10,1,C13,1,2,2,,,,,,,,,,,,,,,,,,,,
10,1,C14 ,2,3,2,,,,,,,,,,,,,,,,,,,,
10,1,C143,,2,3,,,,,,,,,,,,,,,,,,,,
10,1,C16,2,1,0,,,,,,,,,,,,,,,,,,,,
